city,city_ibge_code,date,is_last,last_available_confirmed,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,latitude,longitude
Monte Santo,2921500.0,2020-07-11,True,103,0.0194,2,1,0,-10.4374,-39.3321
Morpará,2921609.0,2020-07-11,True,14,0.1429,2,0,0,-11.5569,-43.2766
Morro do Chapéu,2921708.0,2020-07-11,True,12,0.0,0,0,0,-11.5488,-41.1565
Mucugê,2921906.0,2020-07-11,True,15,0.0,0,0,0,-13.0053,-41.3703
Mulungu do Morro,2922052.0,2020-07-11,True,13,0.0769,1,0,0,-11.9648,-41.6374
Mundo Novo,2922102.0,2020-07-11,True,2,0.5,1,1,0,-11.8541,-40.4714
Muniz Ferreira,2922201.0,2020-07-11,True,18,0.0,0,1,0,-13.0092,-39.1092
Muquém de São Francisco,2922250.0,2020-07-11,True,26,0.0,0,0,0,-12.065,-43.5497
Mutuípe,2922409.0,2020-07-11,True,39,0.0,0,1,0,-13.2284,-39.5044
Nazaré,2922508.0,2020-07-11,True,110,0.0273,3,9,0,-13.0235,-39.0108
Nilo Peçanha,2922607.0,2020-07-11,True,75,0.0133,1,0,0,-13.604000000000001,-39.1091
Nordestina,2922656.0,2020-07-11,True,70,0.0,0,0,0,-10.8192,-39.4297
Nova Canaã,2922706.0,2020-07-11,True,40,0.0,0,0,0,-14.7912,-40.1458
Nova Fátima,2922730.0,2020-07-11,True,7,0.1429,1,0,0,-11.6031,-39.6302
Nova Ibiá,2922755.0,2020-07-11,True,87,0.0345,3,16,1,-13.812000000000001,-39.6182
Nova Itarana,2922805.0,2020-07-11,True,14,0.0,0,2,0,-13.0241,-40.0653
Nova Redenção,2922854.0,2020-07-11,True,3,0.0,0,0,0,-12.815,-41.0748
Nova Soure,2922904.0,2020-07-11,True,169,0.0,0,11,0,-11.2329,-38.4871
Nova Viçosa,2923001.0,2020-07-11,True,193,0.0155,3,3,0,-17.8926,-39.3743
Novo Horizonte,2923035.0,2020-07-11,True,1,0.0,0,0,0,-12.8083,-42.1682
Novo Triunfo,2923050.0,2020-07-11,True,33,0.0,0,0,0,-10.3182,-38.4014
Olindina,2923100.0,2020-07-11,True,38,0.0,0,8,0,-11.3497,-38.3379
Oliveira dos Brejinhos,2923209.0,2020-07-11,True,42,0.0,0,0,0,-12.3132,-42.8969
Ouriçangas,2923308.0,2020-07-11,True,12,0.0,0,0,0,-12.0175,-38.6166
Ourolândia,2923357.0,2020-07-11,True,25,0.0,0,0,0,-10.9578,-41.0756
Palmeiras,2923506.0,2020-07-11,True,7,0.0,0,0,0,-12.5059,-41.5809
Paramirim,2923605.0,2020-07-11,True,8,0.125,1,0,0,-13.4388,-42.2395
Paratinga,2923704.0,2020-07-11,True,16,0.0,0,3,0,-12.687000000000001,-43.1798
Paripiranga,2923803.0,2020-07-11,True,40,0.025,1,1,0,-10.6859,-37.8626
Pau Brasil,2923902.0,2020-07-11,True,35,0.1143,4,0,0,-15.4572,-39.6458
Paulo Afonso,2924009.0,2020-07-11,True,253,0.0316,8,10,0,-9.3983,-38.2216
Pedrão,2924108.0,2020-07-11,True,2,0.0,0,0,0,-12.1491,-38.6487
Piatã,2924306.0,2020-07-11,True,10,0.0,0,0,0,-13.1465,-41.7702
Pilão Arcado,2924405.0,2020-07-11,True,52,0.0,0,0,0,-10.0051,-42.4936
Pindaí,2924504.0,2020-07-11,True,17,0.0,0,0,0,-14.4921,-42.68600000000001
Pindobaçu,2924603.0,2020-07-11,True,37,0.0,0,3,0,-10.7433,-40.3675
Pintadas,2924652.0,2020-07-11,True,87,0.0,0,0,0,-11.8117,-39.9009
Piraí do Norte,2924678.0,2020-07-11,True,95,0.0,0,13,0,-13.759,-39.3836
Piripá,2924702.0,2020-07-11,True,45,0.0,0,0,0,-14.9444,-41.7168
Piritiba,2924801.0,2020-07-11,True,8,0.0,0,1,0,-11.73,-40.5587
Planalto,2925006.0,2020-07-11,True,73,0.0,0,11,0,-14.6654,-40.4718
Pojuca,2925204.0,2020-07-11,True,312,0.0064,2,12,0,-12.4303,-38.3374
Ponto Novo,2925253.0,2020-07-11,True,30,0.0333,1,0,0,-10.8653,-40.1311
Potiraguá,2925402.0,2020-07-11,True,42,0.0,0,0,0,-15.5943,-39.8638
Poções,2925105.0,2020-07-11,True,246,0.0081,2,11,0,-14.5234,-40.3634
Prado,2925501.0,2020-07-11,True,175,0.0171,3,4,0,-17.3364,-39.2227
Presidente Dutra,2925600.0,2020-07-11,True,61,0.0,0,1,0,-11.2923,-41.9843
Presidente Jânio Quadros,2925709.0,2020-07-11,True,25,0.04,1,8,0,-14.6885,-41.6798
Presidente Tancredo Neves,2925758.0,2020-07-11,True,265,0.0113,3,45,0,-13.4471,-39.4203
Pé de Serra,2924058.0,2020-07-11,True,32,0.0,0,1,0,-11.8313,-39.611
Queimadas,2925808.0,2020-07-11,True,137,0.0073,1,7,0,-10.9736,-39.6293
Quijingue,2925907.0,2020-07-11,True,20,0.05,1,1,0,-10.7505,-39.2137
Quixabeira,2925931.0,2020-07-11,True,14,0.0,0,1,0,-11.4031,-40.12
Rafael Jambeiro,2925956.0,2020-07-11,True,86,0.0,0,5,0,-12.4053,-39.5007
Remanso,2926004.0,2020-07-11,True,42,0.0238,1,1,0,-9.619439999999999,-42.0848
Retirolândia,2926103.0,2020-07-11,True,75,0.0,0,0,0,-11.4832,-39.4234
Riacho de Santana,2926400.0,2020-07-11,True,35,0.0,0,0,0,-13.6059,-42.9397
Riachão das Neves,2926202.0,2020-07-11,True,56,0.0,0,0,0,-11.7508,-44.9143
Riachão do Jacuípe,2926301.0,2020-07-11,True,153,0.0131,2,22,0,-11.8067,-39.3818
Ribeira do Amparo,2926509.0,2020-07-11,True,22,0.0,0,1,0,-11.0421,-38.4242
Ribeira do Pombal,2926608.0,2020-07-11,True,216,0.0046,1,2,0,-10.8373,-38.5382
Ribeirão do Largo,2926657.0,2020-07-11,True,9,0.0,0,2,0,-15.4508,-40.7441
Rio Real,2927002.0,2020-07-11,True,93,0.0,0,3,0,-11.4814,-37.9332
Rio de Contas,2926707.0,2020-07-11,True,4,0.0,0,0,0,-13.5852,-41.8048
Rio do Antônio,2926806.0,2020-07-11,True,4,0.0,0,0,0,-14.4071,-42.0721
Rio do Pires,2926905.0,2020-07-11,True,14,0.0714,1,0,0,-13.1185,-42.2902
Rodelas,2927101.0,2020-07-11,True,8,0.0,0,0,0,-8.85021,-38.78
Ruy Barbosa,2927200.0,2020-07-11,True,119,0.0084,1,2,0,-12.2816,-40.4931
Salinas da Margarida,2927309.0,2020-07-11,True,27,0.037,1,1,0,-12.873,-38.7562
Salvador,2927408.0,2020-07-11,True,42688,0.0331,1415,610,24,-12.9718,-38.5011
Santa Bárbara,2927507.0,2020-07-11,True,190,0.0105,2,5,0,-11.9515,-38.9681
Santa Cruz da Vitória,2927804.0,2020-07-11,True,13,0.0769,1,0,0,-14.964,-39.8115
Santa Inês,2927903.0,2020-07-11,True,12,0.0833,1,1,0,-13.2793,-39.814
Santa Maria da Vitória,2928109.0,2020-07-11,True,6,0.0,0,1,0,-13.3859,-44.2011
Santa Rita de Cássia,2928406.0,2020-07-11,True,16,0.0625,1,1,0,-11.0063,-44.5255
