city,city_ibge_code,date,is_last,last_available_confirmed,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,lat,lon
Itagibá,2915205.0,2020-07-01,True,67,0.0448,3,1,0,-14.2782,-39.8449
Itagimirim,2915304.0,2020-07-01,True,5,0.0,0,0,0,-16.0819,-39.6133
Itaguaçu da Bahia,2915353.0,2020-07-01,True,1,0.0,0,1,0,-11.0147,-42.3997
Itaju do Colônia,2915403.0,2020-07-01,True,19,0.0,0,2,0,-15.1366,-39.7283
Itajuípe,2915502.0,2020-07-01,True,396,0.0076,3,7,0,-14.6788,-39.3698
Itamaraju,2915601.0,2020-07-01,True,540,0.0167,9,35,0,-17.0378,-39.5386
Itamari,2915700.0,2020-07-01,True,2,0.0,0,0,0,-13.7782,-39.683
Itambé,2915809.0,2020-07-01,True,12,0.0,0,0,0,-15.2429,-40.63
Itanagra,2915908.0,2020-07-01,True,8,0.25,2,0,0,-12.2614,-38.0436
Itanhém,2916005.0,2020-07-01,True,105,0.0095,1,3,0,-17.1642,-40.3321
Itaparica,2916104.0,2020-07-01,True,79,0.038,3,3,0,-12.8932,-38.68
Itapebi,2916302.0,2020-07-01,True,71,0.0141,1,1,1,-15.9551,-39.5329
Itapetinga,2916401.0,2020-07-01,True,162,0.0309,5,9,0,-15.2475,-40.2482
Itapicuru,2916500.0,2020-07-01,True,65,0.0,0,1,0,-11.3088,-38.2262
Itapitanga,2916609.0,2020-07-01,True,16,0.0625,1,3,0,-14.4139,-39.5657
Itapé,2916203.0,2020-07-01,True,33,0.0606,2,3,0,-14.8876,-39.4239
Itaquara,2916708.0,2020-07-01,True,4,0.0,0,2,0,-13.4459,-39.9378
Itarantim,2916807.0,2020-07-01,True,29,0.0345,1,5,0,-15.6528,-40.065
Itatim,2916856.0,2020-07-01,True,36,0.0556,2,0,0,-12.7099,-39.6952
Itiruçu,2916906.0,2020-07-01,True,3,0.0,0,1,0,-13.529000000000002,-40.1472
Itiúba,2917003.0,2020-07-01,True,7,0.1429,1,1,0,-10.6948,-39.8446
Itororó,2917102.0,2020-07-01,True,28,0.0357,1,3,0,-15.11,-40.0684
Ituaçu,2917201.0,2020-07-01,True,1,1.0,1,0,0,-13.8107,-41.3003
Ituberá,2917300.0,2020-07-01,True,125,0.032,4,12,0,-13.7249,-39.1481
Iuiú,2917334.0,2020-07-01,True,1,0.0,0,0,0,-14.4054,-43.5595
Jaborandi,2917359.0,2020-07-01,True,1,0.0,0,0,0,-13.6071,-44.4255
Jacaraci,2917409.0,2020-07-01,True,1,0.0,0,0,0,-14.8541,-42.4329
Jacobina,2917508.0,2020-07-01,True,110,0.0091,1,8,0,-11.1812,-40.5117
Jaguaquara,2917607.0,2020-07-01,True,216,0.0,0,25,0,-13.5248,-39.964
Jaguarari,2917706.0,2020-07-01,True,65,0.0,0,1,0,-10.2569,-40.1999
Jaguaripe,2917805.0,2020-07-01,True,27,0.037000000000000005,1,2,0,-13.1109,-38.8939
Jandaíra,2917904.0,2020-07-01,True,65,0.0154,1,0,0,-11.5616,-37.7853
Jequié,2918001.0,2020-07-01,True,958,0.0303,29,40,0,-13.8509,-40.0877
Jeremoabo,2918100.0,2020-07-01,True,11,0.0,0,2,0,-10.0685,-38.3471
Jiquiriçá,2918209.0,2020-07-01,True,2,0.0,0,0,0,-13.2621,-39.5737
Jitaúna,2918308.0,2020-07-01,True,33,0.0606,2,0,0,-14.0131,-39.8969
João Dourado,2918357.0,2020-07-01,True,94,0.0106,1,6,0,-11.3486,-41.6548
