city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,lat,lon
Firmino Alves,2910909.0,2020-07-01,27,5617.0,True,False,3,53.409290000000006,2020-07-01,0.0,0,29,city,BA,0,0,-14.9823,-39.9269
Floresta Azul,2911006.0,2020-07-01,27,10629.0,True,False,58,545.67692,2020-07-01,0.0,0,79,city,BA,0,0,-14.8629,-39.6579
Formosa do Rio Preto,2911105.0,2020-07-01,27,25591.0,True,False,15,58.61436,2020-07-01,0.0,0,28,city,BA,3,0,-11.0328,-45.193000000000005
Fátima,2910750.0,2020-07-01,27,17890.0,True,False,16,89.43544,2020-07-01,0.0,0,36,city,BA,0,0,-10.616,-38.2239
Gandu,2911204.0,2020-07-01,27,32403.0,True,False,563,1737.49344,2020-07-01,0.0178,10,89,city,BA,64,0,-13.7441,-39.4747
Gentio do Ouro,2911303.0,2020-07-01,27,11233.0,True,False,18,160.24213999999998,2020-07-01,0.0,0,22,city,BA,0,0,-11.4342,-42.5077
Glória,2911402.0,2020-07-01,27,15221.0,True,False,19,124.82753999999998,2020-07-01,0.0526,1,39,city,BA,0,0,-9.34382,-38.2544
Gongogi,2911501.0,2020-07-01,27,7128.0,True,False,19,266.55442999999997,2020-07-01,0.1053,2,85,city,BA,0,0,-14.3195,-39.469
Governador Mangabeira,2911600.0,2020-07-01,27,20722.0,True,False,22,106.16736000000002,2020-07-01,0.0455,1,61,city,BA,3,0,-12.5994,-39.0412
Guajeru,2911659.0,2020-07-01,27,6937.0,True,False,2,28.83091,2020-07-01,0.0,0,23,city,BA,0,0,-14.5467,-41.9381
Guanambi,2911709.0,2020-07-01,27,84481.0,True,False,84,99.43064,2020-07-01,0.0,0,75,city,BA,2,0,-14.2231,-42.7799
Guaratinga,2911808.0,2020-07-01,27,20843.0,True,False,49,235.09092,2020-07-01,0.0408,2,63,city,BA,2,0,-16.5833,-39.7847
Heliópolis,2911857.0,2020-07-01,27,13031.0,True,False,8,61.39207,2020-07-01,0.0,0,5,city,BA,2,0,-10.6825,-38.2907
Iaçu,2911907.0,2020-07-01,27,24305.0,True,False,42,172.80395,2020-07-01,0.0952,4,48,city,BA,2,0,-12.7666,-40.2056
Ibiassucê,2912004.0,2020-07-01,27,9224.0,True,False,1,10.841280000000001,2020-07-01,0.0,0,5,city,BA,0,0,-14.2711,-42.257
Ibicaraí,2912103.0,2020-07-01,27,21689.0,True,False,132,608.6034400000001,2020-07-01,0.0076,1,71,city,BA,2,0,-14.8579,-39.5914
Ibicoara,2912202.0,2020-07-01,27,19571.0,True,False,1,5.1096,2020-07-01,0.0,0,7,city,BA,0,0,-13.4059,-41.284
Ibicuí,2912301.0,2020-07-01,27,16198.0,True,False,32,197.55525,2020-07-01,0.0,0,28,city,BA,3,0,-14.845,-39.9879
Ibipeba,2912400.0,2020-07-01,27,18211.0,True,False,5,27.45593,2020-07-01,0.0,0,33,city,BA,0,0,-11.6438,-42.0195
Ibipitanga,2912509.0,2020-07-01,27,14902.0,True,False,7,46.97356,2020-07-01,0.0,0,28,city,BA,0,0,-12.8804,-42.4856
Ibiquera,2912608.0,2020-07-01,27,4044.0,True,False,0,,2020-07-01,0.0,0,5,city,BA,0,0,-12.6444,-40.9338
Ibirapitanga,2912707.0,2020-07-01,27,23375.0,True,False,88,376.47059,2020-07-01,0.0114,1,61,city,BA,8,0,-14.1649,-39.3787
Ibirapuã,2912806.0,2020-07-01,27,8637.0,True,False,55,636.79518,2020-07-01,0.0182,1,40,city,BA,0,0,-17.6832,-40.1129
Ibirataia,2912905.0,2020-07-01,27,15312.0,True,False,61,398.38036,2020-07-01,0.0328,2,88,city,BA,0,0,-14.0643,-39.6459
Ibitiara,2913002.0,2020-07-01,27,16339.0,True,False,8,48.9626,2020-07-01,0.125,1,48,city,BA,1,0,-12.6502,-42.2179
Ibotirama,2913200.0,2020-07-01,27,26927.0,True,False,26,96.55736,2020-07-01,0.0,0,87,city,BA,1,0,-12.1779,-43.2167
Ichu,2913309.0,2020-07-01,27,6206.0,True,False,2,32.22688,2020-07-01,0.0,0,5,city,BA,0,0,-11.7431,-39.1905
Igaporã,2913408.0,2020-07-01,27,15640.0,True,False,1,6.39386,2020-07-01,0.0,0,2,city,BA,0,0,-13.774000000000001,-42.7155
Igrapiúna,2913457.0,2020-07-01,27,13226.0,True,False,47,355.36065,2020-07-01,0.0213,1,48,city,BA,14,0,-13.8295,-39.1361
Iguaí,2913507.0,2020-07-01,27,26916.0,True,False,205,761.62877,2020-07-01,0.0049,1,35,city,BA,10,0,-14.7528,-40.0894
Ilhéus,2913606.0,2020-07-01,27,162327.0,True,False,1335,822.41402,2020-07-01,0.0345,46,99,city,BA,68,1,-14.793,-39.046
Importados/Indefinidos,,2020-07-01,27,,True,False,3597,,2020-07-01,0.0017,6,100,city,BA,28,0,,
Inhambupe,2913705.0,2020-07-01,27,39926.0,True,False,17,42.57877,2020-07-01,0.0588,1,48,city,BA,0,1,-11.780999999999999,-38.355
Ipecaetá,2913804.0,2020-07-01,27,14487.0,True,False,6,41.41644,2020-07-01,0.0,0,48,city,BA,1,0,-12.3028,-39.3069
Ipiaú,2913903.0,2020-07-01,27,45873.0,True,False,705,1536.85174,2020-07-01,0.0142,10,97,city,BA,12,0,-14.1226,-39.7353
Ipirá,2914000.0,2020-07-01,27,59595.0,True,False,74,124.17148999999999,2020-07-01,0.027000000000000003,2,73,city,BA,1,0,-12.1561,-39.7359
Iramaia,2914307.0,2020-07-01,27,8537.0,True,False,2,23.427429999999998,2020-07-01,0.0,0,27,city,BA,0,0,-13.2902,-40.9595
Iraquara,2914406.0,2020-07-01,27,25216.0,True,False,49,194.32107,2020-07-01,0.0,0,9,city,BA,21,0,-12.2429,-41.6155
Irará,2914505.0,2020-07-01,27,29034.0,True,False,26,89.55018000000001,2020-07-01,0.0,0,52,city,BA,-2,0,-12.0504,-38.7631
Irecê,2914604.0,2020-07-01,27,72967.0,True,False,104,142.53018,2020-07-01,0.0096,1,78,city,BA,17,0,-11.3033,-41.8535
Itabela,2914653.0,2020-07-01,27,30584.0,True,False,79,258.305,2020-07-01,0.0127,1,73,city,BA,1,0,-16.5732,-39.5593
Itaberaba,2914703.0,2020-07-01,27,64489.0,True,False,264,409.37214,2020-07-01,0.0341,9,73,city,BA,17,0,-12.5242,-40.3059
Itabuna,2914802.0,2020-07-01,27,213223.0,True,False,2637,1236.73337,2020-07-01,0.022000000000000002,58,105,city,BA,57,2,-14.7876,-39.2781
Itacaré,2914901.0,2020-07-01,27,28296.0,True,False,120,424.08820999999995,2020-07-01,0.025,3,68,city,BA,0,0,-14.2784,-38.9959
Itaeté,2915007.0,2020-07-01,27,16056.0,True,False,47,292.72546,2020-07-01,0.0,0,41,city,BA,0,0,-12.9831,-40.9677
